Structure_id,Urban,Year,Lanes_on,AverageDaily,Historic,Material,Spans,Length,Width,Trucks_percent
111870021303095,Rural,1969,2,5200,Possible,Steel,3,1289.6,10.9,17
150150007308074,Urban,1967,3,41754,Possible,Concrete,9,214.6,16.8,2
081770AA0117001,Rural,1945,1,60,Possible,Steel,1,6.1,5.3,0
180710AA0103001,Rural,1991,2,1030,Not historic,Concrete,1,21.3,10.2,2
180430C02690001,Urban,1987,2,9000,Not historic,Concrete,3,36.6,7.9,0
121020325602244,Urban,1989,4,44028,Not historic,Steel,3,161.8,21,3
121020AA7830002,Urban,1990,2,2000,Not historic,Concrete,3,39.6,7.4,1
091610020907047,Rural,1953,2,4580,Possible,Concrete,4,36.6,13.4,8
111140AA0344001,Rural,1984,1,55,Not historic,Steel,4,22.9,4.3,0
231600086801001,Rural,1946,2,80,Possible,Concrete,2,15.2,7,6
180710AA0480001,Rural,1991,1,227,Not historic,Steel,1,15.5,5.2,0
121020AA2106001,Rural,1981,2,4027,Not historic,Concrete,3,31.4,7.6,1
070480003502009,Rural,1932,2,2440,Possible,Concrete,3,316.1,12,22
180570035306395,Urban,2012,1,9640,Not historic,Steel,4,677.9,7.7,7
150150001607441,Urban,2014,1,17500,Not historic,Concrete,4,152.4,7.1,9
121020AA5341001,Rural,1976,2,3205,Possible,Concrete,3,28,7.3,2
131210AA0721001,Rural,2013,2,20,Not historic,Concrete,1,21.9,7,0
011130001002159,Rural,2003,2,13000,Not historic,Concrete,3,61,11.3,36
022490AA0175001,Rural,2003,2,74,Not historic,Concrete,1,19.8,7.3,0
121020B03057180,Urban,1979,4,12630,Not historic,Concrete,1,15.9,13.5,0
172360067506051,Rural,1962,2,10620,Possible,Concrete,9,83.2,12.2,38
221420048301035,Rural,1956,2,7190,Possible,Concrete,4,36.9,12.1,25
071340014201127,Rural,1971,2,4390,Possible,Concrete,7,469.4,12.1,27
091610001408521,Urban,2015,3,51600,Not historic,Concrete,3,106.7,21.2,31
022200ZU3000001,Urban,2003,3,28190,Not historic,Concrete,2,78,11.6,20
150830030107040,Rural,1978,2,3280,Not historic,Concrete,3,68.6,10.4,35
150150245202054,Urban,1981,1,9550,Not historic,Concrete,3,54.9,7.4,9
201810AA0359001,Rural,1960,2,600,Possible,Concrete,3,28.3,6.9,0
090740AA0274001,Rural,1990,1,55,Not historic,Timber,1,7.6,5.5,0
131430037002049,Rural,2008,2,3610,Not historic,Concrete,1,27.4,11.5,10
150150007208030,Urban,1934,3,58160,Possible,Concrete,7,61,17.3,7
180570D05410008,Urban,1986,3,4000,Not historic,Concrete,1,18.3,10.1,0
030490286301001,Rural,1930,2,270,Possible,Concrete,1,13,7.7,43
102120024507306,Rural,2009,4,6230,Not historic,Steel,1,53.3,20.7,8
120200AA0649001,Rural,2011,2,1250,Not historic,Concrete,1,12.2,8.5,2
121020325603011,Urban,1970,2,18885,Possible,Concrete,3,69.8,13.1,4
161780AA0113001,Rural,2007,2,140,Not historic,Concrete,5,38.1,8.5,0
011940B00025002,Rural,2010,2,510,Not historic,Concrete,1,18.3,7.3,0
161960037103032,Rural,1930,2,5740,Possible,Concrete,6,33.8,11.9,32
130760026601075,Urban,1990,2,1020,Not historic,Concrete,1,36.6,8.3,11
160130106301010,Rural,1968,2,860,Possible,Concrete,2,18.6,10.3,1
240720067401009,Urban,2005,6,19560,Not historic,Concrete,1,14,28.2,3
121020B69685032,Urban,1987,2,2000,Not historic,Concrete,8,226.2,7.3,5
011390AA0156001,Rural,2003,2,40,Not historic,Steel,1,15.2,6.1,0
081770000603021,Urban,2007,2,10080,Not historic,Concrete,3,62.5,11.6,35
201240002813222,Urban,1993,4,52010,Not historic,Concrete,3,70.1,19.6,14
091610001501633,Rural,2015,1,120,Not historic,Concrete,2,79.6,7.6,3
180570019607108,Urban,2012,6,53310,Not historic,Steel,2,596.5,34.1,5
181300009514357,Urban,1987,2,12740,Not historic,Concrete,6,137.2,11.4,19
121020AA2186003,Rural,2002,2,2000,Not historic,Concrete,3,54.9,7.3,3
121020AA9009003,Urban,2012,2,20,Not historic,Concrete,3,27.7,7.3,0
121700351007186,Urban,2016,3,4000,Not historic,Concrete,1,70.4,15.2,3
171980038204026,Rural,1957,2,3520,Possible,Concrete,4,36.9,8.5,17
091100AA0194001,Rural,2002,1,25,Not historic,Timber,3,15.5,5.1,0
180610131101006,Urban,1993,6,31440,Not historic,Concrete,3,45.7,23.2,29
081280AA0137001,Rural,2001,2,50,Not historic,Concrete,1,21.9,7.1,0
132410AA0497001,Rural,1998,2,70,Not historic,Steel,1,17.7,8.4,0
170940AA0199002,Rural,2017,2,50,Not historic,Steel,1,18.3,8.3,0
150150002502166,Urban,1967,3,61290,Possible,Steel,3,67.1,17.4,5
180570009403270,Urban,1988,3,61590,Not historic,Concrete,1,73.8,17.7,5
111740055303011,Rural,2008,2,2550,Not historic,Concrete,1,292.6,13.2,31
121700351007170,Urban,2016,2,4000,Not historic,Concrete,1,39.6,11.6,2
150950002511224,Urban,1995,4,8200,Not historic,Concrete,20,150.9,20.7,15
180570F99010004,Urban,1979,2,12154,Not historic,Concrete,3,80.8,10.4,0
180570237401558,Urban,2013,5,30000,Not historic,Concrete,3,93,22.6,10
180430C01000006,Urban,1999,3,10250,Not historic,Concrete,1,30.5,10.7,0
022200001415328,Urban,1970,2,12640,Possible,Concrete,5,108.2,12.2,35
121020050201030,Urban,1971,3,2500,Possible,Concrete,3,30.2,10.2,10
102120049505178,Rural,1964,2,12500,Possible,Steel,4,97.8,9.1,38
231670AA0127001,Rural,1939,1,100,Register,Timber,1,122.8,4.4,0
121020AA2108003,Rural,1975,3,20000,Possible,Concrete,3,22.6,10.3,1
030490AA0110001,Rural,2005,2,60,Not historic,Steel,2,15.2,7.3,2
121020017711178,Urban,1995,1,17410,Not historic,Concrete,8,259.1,7.3,7
022200000816308,Urban,1982,2,10,Not historic,Concrete,4,147.8,10.4,3
180710009204268,Rural,1992,2,2000,Not historic,Concrete,4,100.6,12.1,5
091610025809095,Urban,2007,2,20000,Not historic,Concrete,3,89.9,11.4,13
090740AA0481001,Rural,2008,2,55,Not historic,Steel,3,30.5,7.4,0
130620AA0330001,Rural,1930,2,40,Possible,Concrete,4,24.4,5.5,0
022200106801446,Urban,2000,3,21570,Not historic,Steel,1,1007.1,17.5,0
141060001609442,Urban,2018,4,3000,Not historic,Steel,3,474,18.9,4
051520006707166,Urban,1988,2,2760,Not historic,Concrete,3,111.9,10.7,4
201460095201004,Rural,1958,2,3020,Possible,Concrete,3,27.4,9,11
121020B25897901,Urban,1963,2,6200,Possible,Concrete,3,12.8,8.2,5
140280AA0183005,Rural,1985,2,125,Not historic,Concrete,1,29,8.5,0
080770AA0283001,Rural,1930,1,100,Register,Steel,1,24.7,5.9,0
041180055702002,Rural,1940,2,1410,Possible,Steel,4,48.8,12.6,27
022200036401160,Urban,1986,3,49610,Not historic,Concrete,2,99.1,16.9,6
121020050003347,Urban,1996,1,6000,Not historic,Steel,9,1754.1,8.5,5
250650B00075001,Rural,1939,2,1500,Possible,Concrete,1,7.9,18.3,0
240720212102222,Urban,1973,2,18430,Possible,Steel,3,1120.8,12.2,7
072000269901001,Rural,1964,2,100,Possible,Concrete,5,66.8,7.3,10
150150029110087,Urban,1975,3,19020,Possible,Concrete,5,38.1,12.8,3
201810002814519,Urban,2018,6,55918,Not historic,Concrete,7,269.7,42.7,27
132350AA0130002,Rural,2007,2,110,Not historic,Steel,1,21.9,8.4,0
090140023103115,Urban,1977,2,26140,Not historic,Concrete,3,93.3,12.8,6
250970165001001,Rural,1952,2,350,Possible,Concrete,6,45.7,5.9,29
190340022204046,Rural,1988,2,3000,Not historic,Concrete,5,78,13.2,20
051520006711194,Urban,1990,3,5980,Not historic,Concrete,2,94.5,11.7,12
072260007002053,Urban,1972,2,5610,Possible,Concrete,1,74.7,12.8,14
082080AA0195002,Rural,2009,2,100,Not historic,Concrete,1,16.8,7.3,0
201240AA0114002,Rural,1996,2,390,Not historic,Concrete,5,61,7.2,0
132410C00575001,Rural,1985,2,2670,Not historic,Concrete,1,14,9.3,5
150150001710318,Urban,1964,2,34562,Possible,Steel,5,131.7,14.4,9
031690AA0258001,Rural,1993,1,60,Not historic,Steel,1,20.4,5.2,0
021840AA0511001,Rural,2005,2,530,Not historic,Concrete,1,18.3,8.5,0
160130008801094,Urban,1971,2,4300,Possible,Concrete,1,70.1,12.8,15
121700274401001,Urban,1968,2,9010,Possible,Concrete,4,73.2,10.1,5
051520038001215,Urban,2009,2,27928,Not historic,Concrete,2,50,17.3,15
121020017809067,Urban,1999,2,20005,Not historic,Concrete,4,137.2,7.3,4
250630013201033,Rural,1982,2,1000,Not historic,Concrete,2,46.3,11.7,24
181990000904046,Urban,1999,2,3700,Not historic,Concrete,3,36.6,13.2,19
201010060101004,Rural,1939,2,4140,Possible,Steel,8,69.5,12.4,7
021840AA0337001,Rural,1981,2,1010,Not historic,Steel,1,24.4,7.8,0
181750AA0466004,Rural,1987,2,134,Not historic,Concrete,2,24.4,8.3,0
130900053504143,Rural,1971,2,14120,Possible,Concrete,7,89.6,12.8,38
091100051902004,Rural,1950,2,4240,Possible,Steel,3,120.7,14.5,13
180570F78682019,Urban,1990,2,7500,Not historic,Concrete,1,103.6,7.2,0
132410AA0690001,Rural,1991,2,1360,Not historic,Timber,3,14,6.9,5
180570K01205016,Urban,1990,7,3000,Not historic,Concrete,2,20.1,23.4,0
091100001903048,Rural,2004,2,140,Not historic,Concrete,3,28.7,9.1,13
021820C01315001,Urban,1945,2,80,Possible,Concrete,1,7.9,9.1,0
090140AA0111001,Rural,1940,2,525,Possible,Concrete,3,22.9,7.2,1
011390145603010,Rural,2007,2,50,Not historic,Concrete,1,21.3,9.1,6
030050286002002,Rural,1966,2,40,Possible,Concrete,2,18.6,7.9,5
130450053508015,Rural,1962,3,21020,Possible,Concrete,5,46.3,18,38
180570000911480,Urban,1961,4,78615,Possible,Concrete,1,36,18.7,8
240720212101029,Urban,1959,2,29380,Possible,Concrete,6,48.8,12,14
121020002713210,Urban,1993,7,146960,Not historic,Concrete,1,85.3,33.3,6
130900015302021,Rural,1921,2,8430,Possible,Concrete,1,6.7,12.5,18
172390AA0457001,Rural,1997,1,210,Not historic,Steel,1,12.2,5.9,0
090140001514695,Urban,2018,2,5600,Not historic,Concrete,1,136.2,8.5,15
130900AA0385001,Rural,2011,2,40,Not historic,Concrete,1,12.2,7.2,0
180710AA0356001,Rural,1955,2,165,Possible,Steel,4,33.2,6.2,2
100370B00850001,Urban,1976,2,700,Possible,Concrete,1,9.1,9.8,1
010920AA0853002,Rural,2005,2,10,Not historic,Concrete,1,19.8,7.3,0
151330085501014,Rural,1973,2,1410,Possible,Concrete,2,79.2,10.4,4
192300040202033,Rural,1984,2,2170,Not historic,Concrete,4,51.8,13.3,10
180710026002010,Urban,1931,2,3430,Possible,Concrete,1,8.8,7.4,16
150460B01550001,Urban,1923,2,12850,Register,Concrete,5,125,6.1,1
130900297301001,Rural,1967,2,200,Possible,Concrete,5,38.1,7.9,9
121020TOL040222,Urban,1987,5,30000,Not historic,Concrete,3,57,21,5
091100AA0174002,Rural,2002,1,25,Not historic,Steel,1,10.1,4.8,0
061650118802018,Urban,1997,2,25890,Not historic,Concrete,1,80.8,11.4,3
180610225002009,Urban,1992,3,7730,Not historic,Concrete,1,64.3,13.9,20
142460001516437,Urban,1992,5,16800,Not historic,Concrete,2,36.6,19.2,2
091100AA0444004,Rural,1926,2,65,Possible,Concrete,2,12.2,10.4,0
121020325602222,Urban,1989,4,22000,Not historic,Concrete,1,84.1,21,4
180710009205357,Rural,2000,3,18550,Not historic,Concrete,1,48.8,15,28
091610AA0623001,Rural,2000,2,95,Not historic,Steel,1,7.9,7.1,0
162050037201014,Rural,1979,2,7600,Not historic,Concrete,1,71.6,12.4,27
142270015106031,Urban,1947,4,23890,Register,Steel,16,244.1,17,1
030490AA0188001,Rural,1988,2,40,Not historic,Steel,1,12.2,7,0
142270120005047,Rural,2009,4,290,Not historic,Concrete,3,104.2,23.2,0
010920004718246,Urban,1987,2,22520,Not historic,Concrete,2,42.7,11.3,14
120200AA0522002,Rural,2011,2,250,Not historic,Concrete,1,13.7,9.1,0
011170000913226,Rural,1960,2,640,Possible,Concrete,3,24.4,7.3,14
150150007207100,Urban,1965,2,22160,Possible,Concrete,4,70.1,11.9,10
110030033605042,Urban,1971,4,9560,Possible,Concrete,4,73.2,26.2,8
121020050003356,Urban,1999,2,27620,Not historic,Steel,4,245.4,10.1,5
150150007212276,Urban,1999,4,88020,Not historic,Concrete,4,67.1,21.4,5
041880263504028,Urban,1997,2,4210,Not historic,Concrete,3,67.1,13.4,5
211090C00170001,Rural,2011,2,2340,Not historic,Concrete,10,304.8,30.5,12
021200024905072,Rural,1991,2,1960,Not historic,Concrete,3,57.3,13.2,19
180570019702145,Urban,1964,2,10510,Possible,Steel,4,70.7,8.5,0
101080016403017,Rural,1930,2,5690,Possible,Concrete,12,104.2,12.4,9
201010081102008,Rural,1996,2,680,Not historic,Concrete,1,36.6,12.9,15
022200ZP7490002,Urban,2009,2,50,Not historic,Concrete,3,56.4,11,0
102120019008041,Urban,1971,3,10840,Possible,Concrete,6,131.1,15.1,19
111740AA0545001,Rural,1998,1,55,Not historic,Steel,1,7.6,4.4,0
142460AA8860001,Rural,2007,4,1000,Not historic,Concrete,1,7.9,14.5,0
091470AA0142001,Rural,2012,2,35,Not historic,Steel,1,11.9,6.2,0
121700AA1297001,Rural,1982,2,470,Not historic,Concrete,2,18.6,6.8,5
022200106801277,Urban,1989,5,20005,Not historic,Steel,2,79.2,19.5,0
142460001509686,Urban,2018,1,10000,Not historic,Concrete,2,76.5,8.5,1
150150245202136,Urban,1992,2,47750,Not historic,Concrete,1,78.6,11.3,9
051850016801077,Rural,1994,2,2440,Not historic,Concrete,1,42.7,11.3,29
011170000913462,Rural,2011,2,22000,Not historic,Concrete,1,80.2,13.9,17
022200226602032,Urban,1981,4,83470,Not historic,Concrete,1,74.7,21.3,5
131580269701002,Urban,1973,2,2290,Possible,Concrete,3,37.2,14.4,8
150150B28105001,Urban,1979,4,9740,Not historic,Concrete,7,79.6,13.4,0
111740280802002,Rural,1994,2,600,Not historic,Concrete,4,48.8,9.1,6
210310C01925001,Urban,1988,2,6080,Not historic,Concrete,3,21.3,9.8,2
161490007307248,Rural,1980,2,12030,Not historic,Concrete,2,124.1,11.6,28
150150B35547002,Urban,2016,2,400,Not historic,Concrete,7,131.7,8.5,0
102120049504051,Rural,1961,2,2600,Possible,Steel,4,86.6,8.5,12
081280136001004,Rural,1954,2,310,Possible,Concrete,4,36.6,6.9,19
111140033502020,Rural,1957,2,2940,Possible,Concrete,20,185,8.2,22
252420027512062,Rural,1968,2,180,Possible,Concrete,3,88.4,7.9,30
162050105203038,Rural,1980,2,960,Not historic,Concrete,5,46.3,12.2,13
160130010102098,Rural,2008,2,1770,Not historic,Concrete,5,118.9,11.6,24
121020B67129002,Urban,1988,2,8000,Not historic,Concrete,5,107.9,7.3,1
050960006706095,Rural,1981,2,6110,Not historic,Concrete,2,61,11.4,17
100370AA1816102,Rural,1940,1,50,Possible,Steel,1,7.6,5.5,0
102340049503108,Rural,1962,2,20,Possible,Steel,4,66.1,7.1,5
140110118602012,Rural,1955,2,2500,Possible,Concrete,3,27.4,6.9,11
180570044202414,Urban,2017,7,52700,Not historic,Concrete,4,873.6,29.6,10
150950053501023,Urban,1966,2,15280,Possible,Concrete,1,42.7,12.2,24
150150B05270001,Urban,1952,4,17790,Possible,Concrete,4,36.6,13.3,13
230250B01270001,Urban,1941,2,5000,Register,Steel,5,27.7,11,0
090140001507549,Rural,2015,4,4800,Not historic,Concrete,2,53,15.7,0
010920051001008,Rural,1956,2,450,Possible,Concrete,3,27.4,7.8,14
240720B39600001,Urban,1974,2,5030,Possible,Concrete,1,16.5,10.9,3
031690001302005,Rural,2007,2,1960,Not historic,Concrete,3,54.9,14,26
150150007308197,Urban,1969,1,3262,Possible,Steel,8,305.7,7.5,0
150150FF0610001,Urban,1950,2,680,Possible,Concrete,5,39.6,7.9,0
231670AA0125001,Rural,1954,1,100,Possible,Steel,2,8.8,4.6,0
201240AA0225001,Rural,2003,2,110,Not historic,Concrete,2,24.4,9.1,0
121020325604359,Urban,1997,4,11950,Not historic,Concrete,3,97.5,19,6
121020050003175,Urban,1976,2,4000,Possible,Concrete,1,23.8,7.3,7
170940031503053,Rural,1955,2,6730,Possible,Concrete,13,120.1,8.5,4
130760080703019,Rural,1984,2,780,Not historic,Concrete,1,54.9,10.3,10
180710017208185,Urban,1995,2,12550,Not historic,Concrete,3,27.7,13.2,17
121020B26105002,Urban,1945,4,15100,Possible,Concrete,3,22.9,13.4,0
091610025809075,Urban,1963,2,9540,Possible,Concrete,4,48.8,11.7,8
180570019603458,Urban,2004,2,10000,Not historic,Steel,4,1063.1,10.7,0
240720016701030,Urban,1973,1,9410,Possible,Concrete,5,107.6,9.1,5
170820067502159,Rural,1970,2,13030,Possible,Concrete,7,106.7,12,29
121020B21912004,Urban,1986,2,4000,Not historic,Concrete,3,34.1,7.3,0
151330336201001,Urban,1982,5,6610,Not historic,Concrete,4,85.3,21.3,8
130080027108715,Rural,2017,4,6673,Not historic,Concrete,4,100.1,20.7,6
022490001308069,Rural,1990,2,4700,Not historic,Concrete,2,56.4,12.2,11
011130064104025,Rural,1996,2,500,Not historic,Concrete,1,16.8,9,9
180710026101083,Rural,1993,2,9000,Not historic,Concrete,1,57.9,11.9,17
121020050003282,Urban,1985,1,21260,Not historic,Concrete,3,105.8,6.1,7
021120078002001,Rural,1957,2,310,Possible,Steel,3,94.8,7.2,15
111740AA0929001,Rural,1997,2,55,Not historic,Steel,1,7.3,7.2,0
090500121902001,Rural,1951,2,130,Possible,Concrete,3,22.9,5.9,3
022490AA0372001,Rural,1996,2,392,Not historic,Steel,1,14,7.3,0
121700351007236,Urban,2016,2,500,Not historic,Concrete,8,270.7,7.9,0
132410083801017,Rural,1961,2,2940,Possible,Concrete,3,22.9,11.3,5
151330154401003,Rural,1972,2,1550,Possible,Concrete,3,23.5,14.9,4
121020325601168,Urban,1990,4,15000,Not historic,Concrete,1,80.5,20.9,7
072180016002057,Rural,1960,2,1340,Possible,Concrete,7,64.6,12.1,24
090500023102060,Urban,1975,3,18170,Possible,Concrete,1,62.5,19.5,6
1805709B8240009,Urban,1960,3,5130,Possible,Concrete,3,31.4,9.1,0
010750AA0511002,Rural,2008,2,10,Not historic,Concrete,1,12.2,7.3,0
102120AA0313101,Rural,1955,2,350,Possible,Steel,1,8.5,6.7,2
030490AA0196002,Rural,1993,1,20,Not historic,Steel,2,37.5,4.9,0
161780B01070001,Urban,1960,2,1810,Possible,Concrete,2,13.4,7.2,0
232060028906032,Rural,1937,2,1030,Possible,Concrete,7,64,13.4,10
150150052104261,Urban,1988,3,34480,Not historic,Concrete,1,42.7,16.5,16
120200AA0110001,Rural,2003,2,110,Not historic,Concrete,1,86.9,8.5,0
120200AA0853001,Rural,2010,2,100,Not historic,Concrete,3,33.5,8.3,2
161490044701152,Rural,2008,2,1900,Not historic,Concrete,10,182.9,11.5,34
142270B02017001,Urban,1985,6,42900,Not historic,Concrete,1,41.8,22.6,0
142270044006119,Urban,2008,2,5000,Not historic,Concrete,3,97.5,12.1,7
181300045102003,Rural,1936,2,7510,Possible,Steel,6,52.1,10.1,14
150950053501056,Urban,1967,3,16110,Possible,Concrete,3,48.8,15.2,23
232150AA0303001,Rural,1965,1,50,Possible,Steel,3,16.8,3.7,2
201010006505090,Urban,1965,2,6760,Possible,Steel,5,76.2,11.4,12
181300AA0449002,Rural,1950,1,103,Possible,Steel,1,9.4,4.9,0
011390068802037,Rural,2004,2,510,Not historic,Concrete,1,22.9,8.9,8
031690001305037,Urban,1972,2,1700,Possible,Concrete,2,88.4,14.6,5
121020AA9955002,Urban,1991,2,50,Not historic,Concrete,1,16.8,7.2,0
180430AA0367001,Rural,1989,2,10,Not historic,Steel,1,14.9,7.3,0
212140AA0149001,Rural,2005,2,2000,Not historic,Concrete,3,51.8,9.7,0
121020B44185017,Urban,1959,2,10857,Possible,Steel,3,699.8,8.5,0
120200152401059,Urban,1972,3,12500,Possible,Concrete,4,106.7,16.5,9
121020AA2111012,Urban,1990,2,14950,Not historic,Concrete,3,40.5,7.3,2
240720B52360001,Urban,1970,2,3420,Possible,Concrete,1,13.7,11,5
011940018904044,Rural,1973,2,1670,Possible,Concrete,12,292.6,13.4,28
010750AA0167004,Rural,2009,2,80,Not historic,Concrete,1,13.7,7.2,0
1805709A2730001,Urban,1978,4,11100,Not historic,Concrete,6,78.3,13.4,7
1805709F6050001,Urban,1984,2,420,Not historic,Concrete,1,12.2,9.6,3
032520103106018,Rural,1961,2,80,Possible,Concrete,3,36.6,7.3,42
081050015704044,Rural,1971,2,1760,Possible,Concrete,6,55.5,12.7,19
150150052104389,Urban,2009,2,32900,Not historic,Steel,2,1433.5,11.5,3
010750AA0678002,Rural,1998,1,10,Not historic,Steel,1,17.4,4.3,0
120800AA0259001,Urban,2008,2,100,Not historic,Concrete,3,18.3,9.1,0
180710105101014,Urban,1996,2,6610,Not historic,Concrete,1,48.8,14.7,5
171660020406026,Rural,1927,2,6370,Possible,Concrete,10,42.7,12.3,26
1805709F6680005,Urban,1969,3,10090,Possible,Concrete,1,28,10.5,0
240720000202184,Urban,2000,2,21530,Not historic,Concrete,1,57,11.2,3
180430013504091,Rural,1976,2,7770,Possible,Concrete,12,146.3,12.8,9
141060001602430,Urban,2010,2,18990,Not historic,Concrete,1,38.1,12.7,13
131430AA0229001,Rural,1988,1,30,Not historic,Steel,1,13.7,5.2,0
